1|1|4/27/2023 2:00:00 PM|True|1|0|Resources/Images/a1.jpg|/Resources/Images/a1.jpg|False|4/27/2023|False
2|2|4/27/2023 1:00:00 AM|True|1|0|Resources/Images/a2.jpg|/Resources/Images/a2.jpg|False|4/25/2023|False
3|3|4/28/2023 6:20:38 PM|False|1|0|Resources/Images/accommodation.jpg|/Resources/Images/accommodation.jpg|False|4/25/2023|False
4|4|4/25/2023 3:00:00 PM|False|1|0|Resources/Images/a2.jpg|/Resources/Images/a2.jpg|False|4/25/2023|False
5|5|4/27/2023 3:19:07 AM|False|1|0|Resources/Images/a1.jpg|/Resources/Images/a1.jpg|False|4/27/2023|False
6|6|4/27/2023 12:41:52 PM|False|1|0|Resources/Images/a1.jpg|/Resources/Images/a1.jpg|False|4/27/2023|False
7|7|4/27/2023 12:42:44 PM|False|1|0|Resources/Images/addBW.png|/Resources/Images/addBW.png|False|4/27/2023|False
8|11|4/27/2023 4:00:00 PM|False|1|0|Resources/Images/365day.png|/Resources/Images/365day.png|False|4/27/2023|False
9|12|4/27/2023 7:00:00 PM|False|1|0|Resources/Images/a1.jpg|/Resources/Images/a1.jpg|False|4/27/2023|False
10|13|4/27/2023 9:00:00 PM|True|1|0|Resources/Images/accommodation.jpg|pack://application:,,,/Resources/Images/accommodation.jpg|False|4/27/2023|False
